time,steps
2017-02-17 08:19:36,518
2017-02-17 14:55:11,572
2017-02-18 01:29:15,497
2017-02-18 08:10:25,522
2017-02-19 10:56:31,440
2017-02-20 10:37:51,362
2017-02-22 22:39:21,518
2017-02-23 12:17:45,614
2017-02-24 21:26:37,514
2017-02-27 04:45:30,515
2017-03-01 03:35:22,359
2017-03-02 00:49:22,449
2017-03-02 09:04:26,671
2017-03-04 04:32:36,640
2017-03-04 22:32:10,597
2017-03-05 20:16:47,589
2017-03-07 16:18:27,551
2017-03-08 22:22:33,508
2017-03-09 23:23:02,570
2017-03-10 00:42:46,493
2017-03-11 07:55:29,602
2017-03-11 19:27:47,563
2017-03-11 23:18:32,554
2017-03-12 00:16:52,489
2017-03-12 14:06:24,504
2017-03-12 23:39:43,557
2017-03-13 04:50:47,381
2017-03-14 21:39:35,590
2017-03-15 11:32:25,450
2017-03-16 03:33:09,604
2017-03-17 01:18:24,500
2017-03-17 08:19:48,542
2017-03-18 16:19:51,599
2017-03-19 12:48:55,554
2017-03-23 15:47:26,577
2017-03-24 11:35:40,309
2017-03-25 12:24:24,182
2017-03-25 15:34:49,502
2017-03-25 16:10:35,532
2017-03-26 22:14:54,397
2017-03-27 00:09:24,616
2017-03-27 18:22:51,507
2017-03-29 17:03:35,416
2017-03-29 19:23:17,606
2017-03-30 03:00:05,581
2017-03-30 12:51:21,481
2017-03-31 16:31:18,560
2017-04-01 21:28:38,707
2017-04-02 14:37:18,611
2017-04-03 17:51:12,495
2017-04-04 00:06:10,527
2017-04-04 22:48:41,570
2017-04-05 01:04:00,386
2017-04-05 14:17:25,484
2017-04-06 04:53:02,350
2017-04-06 06:53:04,437
2017-04-07 04:28:37,485
2017-04-08 03:07:02,358
2017-04-08 23:53:17,605
2017-04-10 15:45:44,729
2017-04-12 12:44:11,560
2017-04-13 00:45:25,446
2017-04-13 17:18:34,322
2017-04-13 22:34:08,522
2017-04-14 00:12:04,330
2017-04-14 07:51:09,540
2017-04-14 19:30:41,524
2017-04-16 15:16:16,649
2017-04-18 00:20:48,571
2017-04-21 10:46:25,495
2017-04-23 17:36:03,314
2017-04-25 16:39:04,676
2017-04-26 04:59:47,510
2017-04-26 11:34:44,435
2017-04-27 15:00:46,499
2017-04-27 20:45:03,354
2017-04-27 23:48:53,415
2017-04-28 11:37:40,554
2017-04-29 03:31:23,561
2017-04-29 07:37:25,690
2017-04-30 23:18:55,486
