time,steps
2017-02-16 20:44:04,19
2017-02-16 21:33:23,18
2017-02-17 16:26:55,18
2017-02-19 14:17:27,16
2017-02-20 04:30:59,16
2017-02-21 13:48:43,18
2017-02-23 03:13:40,13
2017-02-23 19:57:51,17
2017-02-23 21:53:15,10
2017-02-23 23:48:27,16
2017-02-24 05:29:01,12
2017-02-24 05:34:14,21
2017-02-26 13:29:01,22
2017-02-28 13:22:39,22
2017-02-28 13:22:59,15
2017-02-28 17:31:39,19
2017-02-28 21:08:51,18
2017-03-01 04:40:46,12
2017-03-01 13:01:59,23
2017-03-02 21:42:05,15
2017-03-03 14:43:50,12
2017-03-06 01:38:19,14
2017-03-06 10:58:11,13
2017-03-06 16:14:35,12
2017-03-06 16:31:27,11
2017-03-08 10:16:00,23
2017-03-11 04:05:25,7
2017-03-11 09:45:01,15
2017-03-11 13:15:39,9
2017-03-12 03:16:48,17
2017-03-12 18:19:11,12
2017-03-14 17:38:23,13
2017-03-14 22:03:55,16
2017-03-15 00:57:23,10
2017-03-15 18:12:09,8
2017-03-16 03:01:00,12
2017-03-16 11:35:58,12
2017-03-17 16:33:20,18
2017-03-18 00:48:06,12
2017-03-18 09:36:48,18
2017-03-19 00:33:27,15
2017-03-19 19:12:08,19
2017-03-20 04:12:12,13
2017-03-20 04:53:35,12
2017-03-20 07:24:34,10
2017-03-20 21:58:19,20
2017-03-21 11:35:38,18
2017-03-22 07:58:21,17
2017-03-23 03:47:24,16
2017-03-23 05:35:44,14
2017-03-23 06:01:15,17
2017-03-25 11:27:03,20
2017-03-26 23:45:02,11
2017-03-27 00:25:36,15
2017-03-28 11:37:37,12
2017-03-28 17:07:42,13
2017-03-29 05:27:39,12
2017-03-30 00:32:49,14
2017-03-30 22:38:43,16
2017-03-31 00:00:29,20
2017-03-31 09:54:11,17
2017-04-01 02:45:49,22
2017-04-01 10:43:24,19
2017-04-01 15:38:44,12
2017-04-02 07:31:56,12
2017-04-02 12:35:25,11
2017-04-03 02:57:26,16
2017-04-04 02:21:17,9
2017-04-04 08:37:30,14
2017-04-04 08:59:02,20
2017-04-04 12:34:07,11
2017-04-04 21:56:58,20
2017-04-05 00:40:42,19
2017-04-05 07:38:08,21
2017-04-05 09:51:24,18
2017-04-05 21:48:00,9
2017-04-06 00:28:22,23
2017-04-07 12:17:11,10
2017-04-08 00:12:55,11
2017-04-08 01:34:57,18
2017-04-08 08:35:49,19
2017-04-09 19:19:48,14
2017-04-10 23:54:38,14
2017-04-11 16:47:30,15
2017-04-12 18:50:05,22
2017-04-12 20:32:16,12
2017-04-13 13:25:27,18
2017-04-14 04:32:03,16
2017-04-14 07:04:14,16
2017-04-14 11:32:06,12
2017-04-15 00:06:28,22
2017-04-15 05:32:37,21
2017-04-16 12:46:43,17
2017-04-17 02:01:49,22
2017-04-18 07:18:16,14
2017-04-19 01:45:30,16
2017-04-19 10:25:29,11
2017-04-19 17:13:52,21
2017-04-19 22:58:37,11
2017-04-20 06:38:00,22
2017-04-20 16:19:07,15
2017-04-21 04:27:26,11
2017-04-22 01:24:53,19
2017-04-23 05:26:45,17
2017-04-24 11:51:51,14
2017-04-24 11:58:13,16
2017-04-25 13:01:33,15
2017-04-26 01:35:19,12
2017-04-26 02:37:20,18
2017-04-26 07:36:32,15
2017-04-26 14:02:56,12
2017-04-27 07:53:43,6
2017-04-29 18:52:14,16
2017-04-30 03:22:56,12
2017-04-30 14:23:33,12
2017-05-01 02:11:11,19
2017-05-01 02:22:55,15
2017-05-01 15:25:15,19
2017-05-01 17:43:40,7
2017-05-01 18:01:30,9
2017-05-02 07:50:22,17
2017-05-02 12:35:33,15
2017-05-04 16:58:14,14
2017-05-05 05:38:35,16
2017-05-05 21:20:05,5
2017-05-07 00:13:46,7
2017-05-08 08:13:09,14
2017-05-11 02:01:35,17
2017-05-11 04:53:35,13
2017-05-11 18:07:58,25
2017-05-11 21:54:55,11
2017-05-12 00:51:46,10
2017-05-15 12:17:07,4
2017-05-17 14:04:14,12
2017-05-17 19:10:18,19
2017-05-19 13:27:34,18
2017-05-19 23:02:35,14
2017-05-20 07:56:40,15
2017-05-23 03:39:22,14
2017-05-23 07:12:41,22
2017-05-24 08:34:23,14
2017-05-27 17:04:53,14
2017-05-28 21:02:53,16
2017-05-28 21:21:44,11
2017-05-29 03:35:48,16
2017-05-29 11:08:10,18
2017-05-29 13:18:47,15
2017-05-29 14:27:01,11
2017-05-30 02:58:30,15
2017-05-30 12:43:36,12
2017-05-30 16:04:41,13
2017-05-30 18:15:04,16
2017-06-02 01:45:05,17
2017-06-03 00:37:32,13
2017-06-03 11:55:52,11
2017-06-04 10:18:13,10
2017-06-04 15:14:53,18
2017-06-04 15:54:22,9
2017-06-04 17:52:15,18
2017-06-05 19:50:56,6
2017-06-06 14:06:55,16
2017-06-06 14:30:11,11
2017-06-06 22:00:04,20
2017-06-08 00:16:55,19
2017-06-08 01:50:58,21
2017-06-08 13:09:20,16
2017-06-08 17:46:42,14
2017-06-09 08:10:38,11
2017-06-09 21:09:39,8
2017-06-09 23:12:44,18
2017-06-10 00:14:32,22
2017-06-10 08:06:51,18
2017-06-10 16:47:09,14
2017-06-10 23:41:19,16
2017-06-11 01:05:05,13
2017-06-12 01:32:22,17
2017-06-13 00:01:15,21
2017-06-13 08:52:13,14
2017-06-14 04:11:49,14
2017-06-14 23:39:38,15
2017-06-15 05:49:09,17
2017-06-16 08:35:48,16
2017-06-16 20:14:38,19
2017-06-16 21:45:02,14
2017-06-17 17:08:59,17
2017-06-19 03:55:02,7
2017-06-19 05:02:17,16
2017-06-19 19:24:01,15
2017-06-20 00:55:16,20
2017-06-22 10:23:39,17
2017-06-23 18:15:26,22
2017-06-23 19:37:12,16
2017-06-23 21:09:43,18
2017-06-24 14:34:13,21
2017-06-25 03:33:09,15
2017-06-25 10:38:42,18
2017-06-25 14:07:12,19
2017-06-26 13:45:30,13
2017-06-27 06:21:21,13
2017-06-28 22:17:30,16
2017-06-29 01:27:40,17
2017-06-29 04:50:38,13
2017-06-29 23:22:08,18
2017-06-30 01:05:30,2
2017-06-30 07:47:45,26
2017-07-01 15:51:35,15
2017-07-03 23:52:35,11
2017-07-04 22:49:28,10
2017-07-05 09:25:06,15
2017-07-07 02:00:27,21
2017-07-07 19:45:36,19
2017-07-08 15:25:09,22
2017-07-09 02:52:29,10
2017-07-09 08:54:43,19
2017-07-09 15:48:12,13
2017-07-09 16:41:30,21
2017-07-10 12:23:11,17
2017-07-11 02:26:15,15
2017-07-11 07:59:36,12
2017-07-11 16:32:34,18
2017-07-11 18:48:48,14
2017-07-11 23:18:23,26
2017-07-12 11:19:54,10
2017-07-13 07:52:54,18
2017-07-13 16:23:48,19
2017-07-14 13:50:08,19
2017-07-14 13:52:18,19
2017-07-15 00:15:47,12
2017-07-15 00:24:24,18
2017-07-17 04:00:07,11
2017-07-17 08:49:34,11
2017-07-17 09:01:19,17
2017-07-18 04:49:07,16
2017-07-19 01:17:15,21
2017-07-19 10:47:18,16
2017-07-19 19:29:14,14
2017-07-21 09:57:07,6
2017-07-21 12:06:29,15
2017-07-21 16:50:04,17
2017-07-22 00:49:41,17
2017-07-22 20:19:39,13
2017-07-23 04:51:20,20
2017-07-24 06:19:50,22
2017-07-24 12:03:02,15
2017-07-25 00:17:11,10
2017-07-25 02:31:57,20
2017-07-25 14:42:48,10
2017-07-26 02:22:29,14
2017-07-26 19:52:05,0
2017-07-26 20:01:36,14
2017-07-27 02:14:34,17
2017-07-28 01:53:14,19
2017-07-28 05:14:06,20
2017-07-28 10:35:18,21
2017-07-28 20:37:50,12
2017-07-29 12:39:15,10
2017-07-29 22:52:06,17
2017-07-30 03:09:18,14
2017-07-30 06:33:59,20
2017-07-30 23:28:55,4
2017-07-31 18:16:37,20
2017-07-31 21:56:48,10
2017-08-01 10:46:09,20
2017-08-03 01:15:28,12
2017-08-03 02:26:32,19
2017-08-03 18:52:11,20
2017-08-04 11:04:21,20
2017-08-04 18:15:52,16
2017-08-05 03:07:32,6
2017-08-05 03:37:10,17
2017-08-05 17:04:53,18
2017-08-06 00:29:49,18
2017-08-06 01:04:40,20
2017-08-06 11:13:49,17
2017-08-06 15:37:09,18
2017-08-06 16:15:27,8
2017-08-07 10:16:51,12
2017-08-08 01:36:27,17
2017-08-08 05:21:59,18
2017-08-08 15:18:16,18
2017-08-08 17:36:13,20
2017-08-09 06:28:02,14
2017-08-09 10:02:27,18
2017-08-10 09:11:11,9
2017-08-10 17:13:41,11
2017-08-10 20:54:30,12
2017-08-11 04:39:09,11
2017-08-11 18:01:03,16
2017-08-12 04:43:09,21
2017-08-13 01:07:09,19
2017-08-13 16:30:16,15
2017-08-15 18:58:51,17
2017-08-15 20:19:03,26
2017-08-17 03:42:30,13
2017-08-17 11:30:23,16
2017-08-17 21:53:05,9
2017-08-18 17:38:12,13
2017-08-18 21:32:08,21
2017-08-20 05:25:04,12
