time,steps
2017-02-19 20:21:43,3141
2017-02-20 20:41:37,4368
2017-02-20 22:37:43,3227
2017-02-25 01:13:42,5869
2017-02-26 12:47:40,6965
2017-03-05 14:35:12,10303
2017-03-07 14:27:02,5779
2017-03-07 19:14:38,6408
2017-03-09 15:12:16,1898
2017-03-09 18:12:47,9793
2017-03-11 15:28:08,2749
2017-03-12 02:06:58,2096
2017-03-13 10:36:54,7094
2017-03-18 21:34:54,9232
2017-03-20 14:07:18,3819
2017-03-21 04:19:01,5290
2017-03-23 00:19:00,5317
2017-03-24 08:06:27,7153
2017-03-24 13:58:47,8391
2017-03-25 02:06:21,7992
2017-03-25 18:59:48,6633
2017-03-26 03:57:04,11819
2017-03-28 00:58:54,6250
2017-03-29 02:06:55,4478
2017-03-29 16:21:18,5945
2017-04-03 12:14:42,3201
2017-04-06 14:26:14,3538
2017-04-07 01:58:20,5957
2017-04-08 19:09:13,3343
2017-04-09 11:21:22,1297
2017-04-10 14:28:59,2827
2017-04-12 08:48:39,6909
2017-04-14 07:48:36,921
2017-04-14 09:40:42,8538
2017-04-14 10:38:32,3977
2017-04-15 21:40:06,6999
2017-04-15 22:08:07,3343
2017-04-16 09:25:37,6545
2017-04-18 00:46:27,7124
2017-04-18 14:16:14,4333
2017-04-21 07:35:30,3652
2017-04-26 09:07:38,7217
2017-04-26 20:26:08,7572
2017-04-27 07:59:19,7825
2017-04-30 11:41:06,8095
2017-05-01 08:50:04,10103
2017-05-08 05:49:03,6595
2017-05-08 09:31:15,2444
2017-05-08 11:19:27,9498
2017-05-08 13:50:27,7125
2017-05-09 09:47:19,13058
2017-05-12 14:21:03,11661
2017-05-13 04:58:46,6684
2017-05-14 02:14:46,9776
2017-05-15 11:04:27,610
2017-05-21 04:45:17,2063
2017-05-21 17:37:40,4009
2017-05-25 19:05:54,6966
2017-05-30 00:33:08,8838
2017-05-31 04:39:46,2641
2017-05-31 22:53:10,3487
2017-06-01 04:02:56,5388
2017-06-01 10:03:24,4552
2017-06-01 14:10:43,10978
2017-06-03 01:33:01,1432
2017-06-03 05:47:48,6989
2017-06-08 11:15:42,5428
2017-06-08 13:16:14,7743
2017-06-10 22:28:22,8224
2017-06-14 06:27:17,4832
2017-06-16 13:00:59,7451
2017-06-17 10:00:53,3083
2017-06-22 05:20:01,5383
2017-06-28 22:17:01,6084
2017-07-03 14:49:02,14321
2017-07-03 16:13:22,2947
2017-07-04 05:53:09,2490
2017-07-08 16:41:10,5912
2017-07-09 00:51:05,5108
2017-07-09 22:45:46,7970
2017-07-12 08:02:55,2347
2017-07-13 02:20:35,4517
2017-07-17 01:00:47,12885
2017-07-17 11:52:08,5875
2017-07-17 20:25:28,6598
2017-07-18 21:46:01,4713
2017-07-21 10:36:07,5935
2017-07-22 08:42:19,8135
2017-07-23 09:04:59,4294
2017-07-24 20:04:12,4364
2017-07-25 03:20:34,2180
2017-07-25 12:40:42,383
2017-07-27 13:38:03,3393
2017-07-28 11:45:15,6106
2017-07-29 09:35:01,5294
2017-07-29 19:16:19,6765
2017-08-01 11:27:16,6964
2017-08-03 15:14:56,4358
2017-08-03 21:07:28,2758
2017-08-04 20:00:54,5549
2017-08-05 08:07:24,7311
2017-08-05 19:24:48,3263
2017-08-08 13:20:27,6281
2017-08-09 09:46:42,5383
2017-08-10 23:29:16,7237
2017-08-11 08:37:49,5511
2017-08-12 00:02:57,1954
2017-08-12 04:38:14,8891
2017-08-13 02:23:15,6740
2017-08-14 23:05:33,3548
2017-08-19 02:34:26,3185
2017-08-23 23:12:47,3539
2017-08-27 23:30:12,6015
2017-08-30 16:32:08,295
2017-08-31 12:13:07,7167
2017-09-01 12:21:12,8204
2017-09-05 15:16:26,4704
2017-09-06 10:27:47,2871
2017-09-08 09:46:17,5901
2017-09-09 03:14:16,3123
2017-09-10 18:40:16,5515
2017-09-11 13:10:45,5830
2017-09-12 09:36:37,5734
2017-09-14 00:35:21,11583
2017-09-19 15:03:42,5432
2017-09-19 19:22:45,4524
2017-09-20 02:04:39,5072
2017-09-20 09:34:35,1414
2017-09-21 19:46:49,4482
2017-09-22 18:19:32,6926
2017-09-26 03:28:57,4930
2017-09-28 09:09:17,4104
2017-09-29 07:10:57,9174
2017-10-06 04:08:11,5336
2017-10-08 17:54:52,4127
2017-10-12 12:46:50,3502
2017-10-12 17:32:16,4916
2017-10-15 08:29:20,9845
2017-10-15 11:26:49,1883
2017-10-17 02:20:50,5850
2017-10-17 07:01:29,9049
2017-10-17 19:29:56,623
2017-10-21 04:05:21,6581
2017-10-25 18:37:58,4619
2017-10-26 20:03:32,3222
2017-10-28 05:30:09,9635
2017-11-04 04:41:28,6020
2017-11-04 07:14:51,4114
2017-11-04 10:53:21,2174
2017-11-06 21:24:01,1299
2017-11-06 22:46:27,8181
2017-11-13 18:46:00,8196
2017-11-14 00:25:51,4549
2017-11-17 15:13:38,6810
2017-11-18 16:15:21,4534
2017-11-19 09:42:34,2418
2017-11-20 00:47:31,7065
2017-11-22 16:29:18,5391
2017-11-24 00:22:56,6364
2017-11-26 01:05:14,13287
2017-11-28 16:36:35,9472
2017-11-29 10:49:19,3873
2017-11-29 11:35:40,3785
2017-12-03 17:23:21,9707
2017-12-11 14:13:29,4567
2017-12-12 17:15:47,8546
2017-12-13 10:29:38,2005
2017-12-15 01:47:15,6548
2017-12-16 10:27:04,11834
2017-12-21 09:13:42,5038
2017-12-23 05:00:23,6843
2017-12-23 17:39:09,6141
2017-12-31 17:16:50,2892
2017-12-31 23:17:09,8426
2018-01-01 19:58:04,9228
2018-01-06 11:57:20,4515
2018-01-07 04:39:17,8792
2018-01-09 18:25:02,5693
2018-01-10 04:05:21,5634
2018-01-11 08:49:47,11948
2018-01-12 10:21:37,1943
2018-01-13 09:54:01,13345
2018-01-14 07:28:41,11381
2018-01-14 23:11:30,11873
2018-01-20 01:36:54,8176
2018-01-20 08:33:48,3649
2018-01-21 18:21:34,4756
2018-01-22 22:42:44,5282
