time,steps
2017-02-17 10:08:20,348
2017-02-19 09:47:56,516
2017-02-20 23:12:29,561
2017-02-22 15:50:23,413
2017-02-25 13:59:54,605
2017-03-01 10:43:55,428
2017-03-01 14:24:30,383
2017-03-01 17:07:58,174
2017-03-02 00:27:16,569
2017-03-03 16:23:20,400
2017-03-05 01:07:55,575
2017-03-05 05:15:25,442
2017-03-06 19:11:56,355
2017-03-07 09:02:15,479
2017-03-08 09:44:43,604
2017-03-09 04:39:31,483
2017-03-09 20:16:51,492
2017-03-10 02:06:23,402
2017-03-10 17:50:27,526
2017-03-11 02:03:46,576
2017-03-11 22:27:24,537
2017-03-12 16:04:54,514
2017-03-13 01:00:35,497
2017-03-13 03:48:57,519
2017-03-13 10:47:16,425
2017-03-14 23:06:36,426
2017-03-15 21:24:17,340
2017-03-18 12:36:43,735
2017-03-18 16:54:38,533
2017-03-18 17:17:28,456
2017-03-18 19:15:33,501
2017-03-20 02:00:42,471
2017-03-21 01:13:38,529
2017-03-21 16:46:47,457
2017-03-22 13:54:12,605
2017-03-24 12:27:38,517
2017-03-26 15:47:42,426
2017-03-27 19:27:23,488
2017-03-28 22:49:56,535
2017-03-29 18:09:14,474
2017-03-30 02:19:13,650
2017-04-01 11:30:53,389
2017-04-02 00:27:04,456
2017-04-03 04:07:52,591
2017-04-06 14:40:41,545
2017-04-06 20:16:20,631
2017-04-07 07:24:22,522
2017-04-07 12:39:57,675
2017-04-08 03:18:33,569
2017-04-08 04:15:53,540
2017-04-08 12:05:13,507
2017-04-08 17:54:06,491
2017-04-11 03:00:04,422
2017-04-11 20:36:00,578
2017-04-12 06:29:32,751
2017-04-12 10:35:11,214
2017-04-13 06:24:42,512
2017-04-14 18:02:36,479
2017-04-16 23:40:21,460
2017-04-17 00:31:32,553
2017-04-17 01:34:56,563
2017-04-17 10:42:16,660
2017-04-18 13:06:32,614
2017-04-18 15:19:01,384
2017-04-18 21:33:47,536
2017-04-19 05:47:49,489
2017-04-20 00:13:36,507
2017-04-21 14:13:40,475
2017-04-24 17:54:28,453
2017-04-24 19:12:43,356
2017-04-25 23:13:09,628
2017-04-26 11:31:26,564
2017-04-26 18:45:11,526
2017-04-26 22:59:25,526
2017-04-28 11:35:52,339
2017-04-28 19:43:40,476
2017-04-30 03:12:12,503
2017-04-30 23:51:37,491
2017-05-01 17:50:36,420
2017-05-02 10:43:22,372
2017-05-02 12:53:51,546
2017-05-02 22:42:11,522
2017-05-04 15:42:28,482
2017-05-04 16:50:04,355
2017-05-05 05:30:23,614
2017-05-06 10:03:12,661
2017-05-08 10:47:30,624
2017-05-08 16:26:27,400
2017-05-12 05:13:43,606
2017-05-12 22:34:36,574
2017-05-15 05:07:51,654
2017-05-15 05:09:02,611
2017-05-16 12:58:00,485
2017-05-17 21:32:39,511
2017-05-17 23:00:03,485
2017-05-18 10:06:02,555
2017-05-18 17:33:59,644
2017-05-18 19:52:39,621
2017-05-20 05:24:22,323
2017-05-20 13:06:25,429
2017-05-20 16:28:10,417
2017-05-20 19:48:54,438
2017-05-22 14:47:14,329
2017-05-23 05:49:51,545
2017-05-27 08:22:23,437
2017-05-27 10:55:12,414
2017-05-27 13:35:28,598
2017-05-28 01:27:38,508
2017-05-29 05:30:09,497
2017-05-29 15:27:24,677
2017-05-29 17:19:34,587
2017-05-30 20:15:10,342
2017-05-31 05:21:28,445
2017-05-31 10:06:26,445
2017-05-31 16:34:10,425
2017-06-01 00:45:10,356
2017-06-01 03:56:14,580
2017-06-03 18:05:40,445
2017-06-04 01:47:14,561
2017-06-06 16:23:18,413
2017-06-09 07:04:28,506
2017-06-12 20:02:33,324
2017-06-13 06:58:10,613
2017-06-13 08:49:02,488
2017-06-13 10:52:44,398
2017-06-13 21:46:22,436
2017-06-13 23:05:40,323
2017-06-15 02:09:16,400
2017-06-16 15:20:00,577
2017-06-16 16:04:41,546
2017-06-18 04:33:51,743
2017-06-21 06:17:29,460
2017-06-21 13:51:22,535
2017-06-21 20:26:12,494
2017-06-22 20:08:21,533
2017-06-24 12:15:53,567
2017-06-24 21:20:02,487
2017-06-25 17:37:59,565
2017-06-25 20:57:00,559
2017-06-26 00:30:53,615
2017-06-26 07:39:28,426
2017-06-27 08:27:24,567
2017-06-27 11:02:18,596
2017-06-27 11:51:23,493
2017-06-28 20:54:37,525
2017-06-28 21:40:33,370
2017-06-30 01:34:33,584
2017-07-03 01:09:19,503
2017-07-03 07:57:15,483
2017-07-04 08:56:14,435
2017-07-04 14:05:31,498
2017-07-05 00:02:00,465
2017-07-05 20:24:57,533
2017-07-09 12:08:45,654
2017-07-09 14:26:03,571
2017-07-11 06:57:44,437
2017-07-11 16:47:59,378
2017-07-12 11:44:02,410
2017-07-12 14:59:28,569
2017-07-12 21:08:34,365
2017-07-13 03:23:22,515
2017-07-14 02:37:23,524
2017-07-14 15:03:32,411
2017-07-14 15:49:06,507
2017-07-14 23:39:42,441
2017-07-15 18:50:18,584
2017-07-16 10:03:26,548
2017-07-16 20:00:31,305
2017-07-16 21:08:41,523
2017-07-16 23:40:12,411
2017-07-18 10:19:31,364
2017-07-20 09:05:52,544
2017-07-24 13:45:24,414
2017-07-25 02:32:42,487
2017-07-27 21:13:08,567
2017-07-28 00:46:55,444
2017-07-28 11:13:47,637
2017-07-29 00:02:12,478
2017-07-29 22:56:08,552
2017-07-31 00:11:45,482
2017-07-31 17:15:01,498
2017-08-01 14:54:25,457
2017-08-01 15:16:50,317
2017-08-01 22:47:29,451
2017-08-02 04:30:35,232
2017-08-03 02:21:02,466
2017-08-03 23:38:39,530
2017-08-05 00:44:34,565
2017-08-05 13:13:42,559
2017-08-05 20:06:03,607
2017-08-06 10:30:16,580
2017-08-06 11:19:08,626
2017-08-07 01:54:29,359
2017-08-07 13:27:51,572
2017-08-08 11:59:21,405
2017-08-10 14:14:55,421
2017-08-13 09:19:30,366
2017-08-13 17:35:15,515
2017-08-15 01:25:50,636
2017-08-16 06:16:01,517
2017-08-17 09:32:14,444
2017-08-17 09:57:11,352
2017-08-17 10:34:03,626
2017-08-18 06:40:08,431
2017-08-18 12:08:27,658
2017-08-18 13:22:15,445
2017-08-20 02:03:23,518
2017-08-20 07:15:14,592
2017-08-21 14:47:03,422
2017-08-22 12:11:13,429
2017-08-23 06:33:26,421
2017-08-23 15:14:02,567
2017-08-23 23:30:25,540
2017-08-24 16:57:00,764
2017-08-27 13:08:54,556
2017-08-28 06:19:56,431
2017-08-28 16:02:48,490
2017-08-31 18:23:09,725
2017-09-01 20:51:40,403
2017-09-02 10:19:37,524
2017-09-04 04:45:06,302
2017-09-05 00:20:45,286
2017-09-05 20:18:24,348
2017-09-06 11:22:50,446
2017-09-10 17:17:16,498
2017-09-11 13:15:27,467
2017-09-12 14:55:37,367
2017-09-12 16:50:16,573
2017-09-13 16:16:27,572
2017-09-14 03:27:56,435
2017-09-14 17:26:48,679
2017-09-16 05:19:16,529
2017-09-16 10:58:03,540
2017-09-16 19:46:42,320
2017-09-17 11:34:52,580
2017-09-18 02:49:41,625
2017-09-18 02:54:00,609
2017-09-19 13:13:00,477
2017-09-19 20:16:35,504
2017-09-20 03:57:13,818
2017-09-22 10:19:34,507
2017-09-23 00:17:46,384
2017-09-24 08:30:50,364
2017-09-24 19:21:49,628
2017-09-25 17:25:35,581
2017-09-25 17:33:15,600
2017-09-26 04:41:13,494
2017-09-26 22:20:46,452
2017-09-27 01:20:08,431
2017-09-27 10:24:36,423
2017-09-27 18:16:17,435
2017-09-28 12:15:42,482
2017-09-29 13:59:53,689
2017-09-29 15:05:21,648
2017-09-30 13:04:57,553
2017-09-30 21:24:29,562
2017-10-03 02:03:00,338
2017-10-03 10:20:12,745
2017-10-05 01:42:42,281
2017-10-05 22:35:51,496
2017-10-07 08:16:56,546
2017-10-07 14:47:58,447
2017-10-07 17:56:54,438
2017-10-08 04:08:32,477
2017-10-10 02:23:36,522
2017-10-10 10:13:51,590
2017-10-11 02:26:57,312
2017-10-12 04:16:41,579
2017-10-12 06:46:46,494
2017-10-12 10:29:47,494
2017-10-12 12:46:50,519
2017-10-14 17:34:50,499
2017-10-14 20:29:19,519
2017-10-16 01:35:09,576
2017-10-16 03:52:52,428
2017-10-17 05:25:14,501
2017-10-17 20:45:10,568
2017-10-18 04:01:24,521
2017-10-19 02:03:57,588
2017-10-19 16:05:00,447
2017-10-20 07:18:11,482
2017-10-20 16:32:02,606
2017-10-21 01:28:00,598
2017-10-21 09:24:26,494
2017-10-21 13:35:32,324
2017-10-21 21:11:08,644
2017-10-22 19:59:08,578
2017-10-23 09:36:45,360
2017-10-23 12:10:40,589
2017-10-24 09:52:16,612
2017-10-25 14:29:19,442
2017-10-27 15:04:33,460
2017-10-28 00:21:26,486
2017-10-28 08:18:23,391
2017-10-29 08:29:31,513
2017-10-30 00:25:37,489
2017-10-30 15:42:34,676
2017-10-30 21:37:28,474
2017-10-31 00:54:16,538
2017-10-31 08:12:41,499
2017-11-01 14:10:52,600
2017-11-03 09:16:06,764
2017-11-04 01:22:46,450
2017-11-06 16:11:17,607
2017-11-09 00:11:18,675
2017-11-09 01:04:13,645
2017-11-10 11:06:02,530
2017-11-10 23:42:45,455
2017-11-11 07:21:03,376
2017-11-15 16:55:27,415
2017-11-16 00:16:12,627
2017-11-16 00:34:03,519
2017-11-17 04:47:08,673
2017-11-19 07:18:19,598
2017-11-19 16:12:05,468
2017-11-22 14:44:48,470
2017-11-24 04:19:19,660
2017-11-24 05:11:31,563
2017-11-25 22:22:49,384
2017-12-01 20:48:29,470
2017-12-03 03:59:21,558
2017-12-04 20:19:01,520
2017-12-08 10:24:17,559
2017-12-08 21:12:41,535
2017-12-09 14:33:12,375
2017-12-11 04:31:41,480
2017-12-11 06:57:32,527
2017-12-12 13:52:03,569
2017-12-12 18:47:03,593
2017-12-15 19:21:46,503
2017-12-15 20:27:58,434
2017-12-15 22:28:44,643
2017-12-19 06:41:16,525
2017-12-19 07:28:12,597
2017-12-19 17:04:13,534
2017-12-20 13:39:39,499
2017-12-20 18:06:47,402
2017-12-20 18:29:09,471
2017-12-21 14:15:10,528
2017-12-22 04:45:42,476
2017-12-22 11:59:00,570
2017-12-22 21:39:17,467
2017-12-23 02:15:40,410
2017-12-23 05:30:21,534
2017-12-23 06:58:34,482
2017-12-23 10:13:34,427
2017-12-23 18:11:30,517
2017-12-25 01:39:33,579
2017-12-26 19:49:11,535
2017-12-28 04:12:26,546
2017-12-28 21:34:42,496
2017-12-29 07:10:13,642
2018-01-02 12:34:44,525
2018-01-02 21:46:32,499
2018-01-03 02:44:13,352
2018-01-03 03:44:37,391
2018-01-04 20:28:12,547
2018-01-06 03:02:02,465
2018-01-06 05:56:14,398
2018-01-07 01:04:49,560
2018-01-08 10:20:24,385
2018-01-08 11:57:34,476
2018-01-09 04:57:20,504
2018-01-09 22:43:48,465
2018-01-11 13:56:01,326
2018-01-12 06:46:34,510
2018-01-13 13:32:16,683
2018-01-15 10:28:19,541
2018-01-16 06:20:39,467
2018-01-16 09:37:33,591
2018-01-17 14:08:22,378
2018-01-17 21:26:20,352
2018-01-19 07:01:49,650
2018-01-19 09:29:10,407
2018-01-19 17:23:19,574
2018-01-19 21:09:49,483
2018-01-19 23:16:33,563
2018-01-22 11:18:24,570
2018-01-22 16:02:08,491
2018-01-23 14:36:05,514
2018-01-23 22:03:58,436
2018-01-24 05:30:52,446
2018-01-24 15:33:46,560
2018-01-24 18:41:29,611
2018-01-25 00:18:32,502
2018-01-26 03:16:02,320
2018-01-27 12:53:01,452
2018-01-28 09:52:13,573
2018-02-04 04:27:28,490
2018-02-07 22:41:25,463
2018-02-09 20:38:49,456
2018-02-10 01:45:25,469
2018-02-11 07:24:54,310
2018-02-11 09:41:08,458
2018-02-12 09:47:37,470
2018-02-12 20:48:43,562
2018-02-12 22:27:37,633
2018-02-12 23:43:14,597
2018-02-14 15:00:27,520
2018-02-16 01:37:59,602
