time,steps
2017-02-18 11:44:49,15
2017-02-18 17:28:47,24
2017-02-18 18:12:18,19
2017-02-19 18:09:14,19
2017-02-19 22:31:07,15
2017-02-20 03:57:37,21
2017-02-21 11:27:39,17
2017-02-21 13:11:35,5
2017-02-21 18:24:36,18
2017-02-22 19:57:55,12
2017-02-23 03:12:38,16
2017-02-23 23:25:11,15
2017-02-23 23:39:59,11
2017-02-24 17:19:12,16
2017-02-25 02:55:26,7
2017-02-25 17:03:26,15
2017-02-25 17:34:31,13
2017-02-25 19:51:38,19
2017-02-26 03:36:14,14
2017-02-26 20:23:01,18
2017-02-27 07:27:58,11
2017-02-27 09:31:09,12
2017-02-27 09:59:58,16
2017-02-27 21:18:00,17
2017-02-27 23:15:42,19
2017-03-01 21:21:21,14
2017-03-03 03:50:43,21
2017-03-04 16:37:43,21
2017-03-04 18:26:10,23
2017-03-04 21:33:33,14
2017-03-05 10:27:45,14
2017-03-05 13:01:11,17
2017-03-06 12:49:40,12
2017-03-06 16:27:46,16
2017-03-07 10:50:46,15
2017-03-07 15:43:42,9
2017-03-07 18:38:25,10
2017-03-07 20:26:38,11
2017-03-08 14:52:47,10
2017-03-09 01:13:17,12
2017-03-10 09:37:45,13
2017-03-11 04:31:39,13
2017-03-11 19:15:32,18
2017-03-12 03:04:14,14
2017-03-12 08:58:39,12
2017-03-12 20:32:55,19
2017-03-13 01:09:32,12
2017-03-13 23:16:22,14
2017-03-14 09:25:55,10
2017-03-14 23:08:01,19
2017-03-14 23:27:35,13
2017-03-16 01:29:59,14
2017-03-16 04:39:44,17
2017-03-16 15:54:41,17
2017-03-17 06:55:13,20
2017-03-20 19:52:20,9
2017-03-20 21:35:47,20
2017-03-21 01:41:15,15
2017-03-21 02:50:45,21
2017-03-21 17:09:33,8
2017-03-23 20:55:07,23
2017-03-24 11:36:25,18
2017-03-24 12:11:31,17
2017-03-26 10:18:03,14
2017-03-27 05:08:38,9
2017-03-29 01:21:08,9
2017-03-29 03:44:41,22
2017-03-29 05:44:55,24
2017-03-29 15:42:10,17
2017-03-30 04:58:20,10
2017-03-30 13:19:09,21
2017-03-30 15:28:43,13
2017-03-31 07:54:04,12
2017-03-31 08:37:55,14
2017-03-31 09:10:39,13
2017-03-31 09:34:26,13
2017-04-01 13:48:25,21
2017-04-02 01:32:08,18
2017-04-02 17:09:15,18
2017-04-04 10:05:22,18
2017-04-05 03:42:23,18
2017-04-07 02:27:24,19
2017-04-08 13:36:16,12
2017-04-09 04:25:54,17
2017-04-10 04:26:34,24
2017-04-11 14:27:55,12
2017-04-11 23:22:18,13
2017-04-12 07:11:22,14
2017-04-12 11:31:09,14
2017-04-13 09:49:44,15
2017-04-14 00:10:17,15
2017-04-14 02:21:20,11
2017-04-14 03:42:05,24
2017-04-15 13:10:21,18
2017-04-16 00:27:27,20
2017-04-16 02:39:21,7
2017-04-16 07:33:11,21
2017-04-16 18:33:41,18
2017-04-17 12:26:24,14
2017-04-18 05:07:53,20
2017-04-18 12:55:51,19
2017-04-19 04:33:22,19
2017-04-22 10:08:43,24
2017-04-22 15:45:00,15
2017-04-22 17:33:44,18
2017-04-22 22:55:28,13
2017-04-23 08:29:01,21
2017-04-23 19:39:48,18
2017-04-24 08:22:59,14
2017-04-25 08:19:21,14
2017-04-25 19:41:41,20
2017-04-26 03:17:46,21
2017-04-27 10:06:36,18
2017-04-28 04:28:27,10
2017-04-28 11:38:03,18
2017-04-29 18:58:32,14
2017-04-30 09:09:02,19
2017-05-01 03:19:57,12
2017-05-01 04:32:56,14
2017-05-01 16:37:54,27
2017-05-02 23:08:59,10
2017-05-03 11:25:21,15
2017-05-03 14:51:21,15
2017-05-05 01:59:50,2
2017-05-05 03:34:41,13
2017-05-05 09:53:19,19
