time,steps
2017-02-16 20:16:14,6800
2017-02-18 01:07:02,5684
2017-02-20 14:35:04,8227
2017-02-20 23:24:00,8798
2017-03-03 02:39:45,8680
2017-03-04 10:57:58,7733
2017-03-05 08:25:39,7335
2017-03-05 12:49:00,10771
2017-03-05 17:06:58,4606
2017-03-06 00:00:47,8466
2017-03-10 10:23:12,6945
2017-03-12 01:08:15,2757
2017-03-14 02:22:36,3024
2017-03-15 16:52:08,8933
2017-03-19 15:41:03,8149
2017-03-20 10:52:08,6519
2017-03-23 22:22:28,7132
2017-04-02 20:01:15,7577
2017-04-03 19:42:24,6586
2017-04-04 11:35:12,2352
2017-04-12 05:38:16,4268
2017-04-14 01:45:10,9052
2017-04-16 02:56:34,8217
2017-04-16 19:21:34,3181
2017-04-17 12:32:47,5026
2017-04-20 21:53:05,3401
2017-04-21 12:06:31,7479
2017-04-22 13:46:44,6174
2017-04-24 14:12:28,6790
2017-04-27 09:56:48,4828
2017-04-28 01:31:46,7933
2017-04-28 06:17:31,11064
2017-04-28 16:49:28,6120
2017-04-30 22:33:31,9555
2017-05-01 17:44:50,3039
2017-05-02 03:20:07,10592
2017-05-04 01:55:51,4492
2017-05-04 10:53:59,10163
2017-05-07 15:32:18,2712
2017-05-09 01:07:33,6610
2017-05-09 04:06:24,8012
2017-05-11 10:39:13,8833
2017-05-12 17:40:44,3106
2017-05-14 22:37:36,4795
2017-05-18 05:12:20,4383
2017-05-20 22:28:00,7935
2017-05-21 07:46:04,9409
2017-05-23 15:35:36,435
2017-05-24 14:04:09,5686
2017-05-24 18:15:37,3160
2017-05-24 18:20:48,1684
2017-05-25 14:40:10,7872
2017-05-26 12:19:32,2307
2017-05-26 22:20:23,6226
2017-05-30 08:33:36,2339
2017-05-31 05:41:05,5721
2017-06-02 22:28:31,3037
2017-06-11 07:53:00,9443
2017-06-11 13:19:48,6050
2017-06-11 17:18:02,9757
2017-06-12 00:57:10,6362
2017-06-12 02:27:19,7326
2017-06-13 02:13:34,9559
2017-06-18 17:15:55,1844
2017-06-19 23:33:49,5435
2017-06-20 07:28:25,2716
2017-06-21 11:43:48,10567
2017-06-27 00:59:55,7337
2017-06-27 14:24:00,3542
2017-06-29 10:59:57,2452
2017-07-01 18:14:33,5715
2017-07-02 07:36:04,9661
2017-07-02 15:02:34,7244
2017-07-04 14:32:12,3906
2017-07-04 22:42:00,7369
2017-07-07 04:53:00,2660
2017-07-07 09:10:43,5399
2017-07-07 20:36:36,10142
2017-07-11 17:29:19,2064
2017-07-21 05:50:03,7395
2017-07-24 00:46:35,407
2017-07-27 02:51:48,1850
2017-07-31 14:43:36,6604
2017-08-03 19:21:38,10128
2017-08-04 16:09:58,4641
2017-08-08 11:49:33,5808
2017-08-11 21:41:20,2643
2017-08-16 16:18:09,8006
2017-08-17 05:03:30,4356
2017-08-18 15:03:44,8759
2017-08-23 08:18:38,4239
2017-08-24 02:23:13,4457
2017-08-28 12:47:32,7442
2017-08-29 15:40:41,7165
2017-09-01 14:41:50,2626
2017-09-04 09:15:33,9583
2017-09-06 04:28:49,9010
2017-09-08 03:07:51,8590
2017-09-08 15:45:51,5739
2017-09-10 01:16:28,9117
2017-09-10 11:04:29,5025
2017-09-12 10:18:13,326
2017-09-16 19:13:33,5054
2017-09-18 14:25:05,3629
2017-09-20 18:35:17,6896
2017-09-21 11:55:55,7837
2017-09-23 05:37:17,9821
2017-09-24 00:55:49,5741
2017-09-24 08:27:33,6441
2017-09-24 14:12:02,15438
2017-09-26 02:21:31,7428
2017-09-26 15:30:44,7345
2017-09-30 23:28:21,8306
2017-10-03 07:21:13,5186
2017-10-04 05:02:34,5386
2017-10-04 15:37:00,8387
2017-10-05 11:27:49,10850
2017-10-06 18:01:27,5891
2017-10-07 08:46:15,4268
2017-10-08 12:12:08,4119
2017-10-09 18:10:31,6195
2017-10-09 20:03:04,613
2017-10-10 08:48:15,15150
2017-10-11 17:49:35,6854
2017-10-11 20:20:24,7498
2017-10-15 16:19:43,11537
2017-10-15 23:21:34,182
2017-10-16 03:01:34,2712
2017-10-17 03:15:55,6861
2017-10-18 00:46:51,8757
2017-10-20 21:55:12,3768
2017-10-21 02:23:59,7812
2017-10-22 00:11:23,3010
2017-10-22 15:28:32,3995
2017-10-22 21:40:23,6665
2017-10-23 13:07:58,8895
2017-10-24 01:43:01,12764
2017-10-25 10:03:26,5097
2017-10-26 19:22:04,8479
2017-10-27 23:36:07,4198
2017-10-28 00:13:42,8433
2017-10-29 22:48:36,4770
2017-10-30 13:43:12,7981
2017-10-31 10:48:29,9383
2017-10-31 22:14:53,8303
2017-11-02 08:20:48,6256
2017-11-03 03:56:04,1653
2017-11-12 21:07:44,8333
2017-11-14 08:18:23,9892
2017-11-16 07:28:27,4644
2017-11-16 13:30:05,9084
2017-11-18 05:23:39,3657
2017-11-18 19:53:49,8937
2017-11-19 15:44:27,12823
2017-11-22 12:33:11,7042
2017-11-28 13:47:40,3772
2017-11-30 14:08:30,6027
2017-12-02 13:34:49,6652
2017-12-03 14:51:05,3657
2017-12-03 16:07:29,10853
2017-12-04 06:19:29,8553
2017-12-05 18:13:51,9633
2017-12-07 12:49:37,9040
2017-12-11 03:04:24,5926
2017-12-13 22:13:58,3860
2017-12-17 08:42:49,5600
2017-12-17 22:33:45,5431
2017-12-20 09:53:52,4855
2017-12-21 04:44:54,8911
2017-12-21 19:41:44,8205
2017-12-24 08:11:43,2058
2017-12-24 17:36:40,9036
2017-12-24 18:01:11,12510
2017-12-25 12:16:11,6081
2017-12-27 01:38:44,943
2017-12-27 12:20:45,4590
2017-12-27 19:51:58,5364
2017-12-29 03:45:29,8939
2018-01-02 05:45:33,10465
2018-01-03 13:42:00,4270
2018-01-06 20:44:56,4341
2018-01-13 22:28:38,9776
2018-01-14 10:02:31,3142
2018-01-23 05:54:27,6032
2018-01-26 06:23:38,1749
2018-01-27 05:51:28,11117
2018-01-29 04:03:54,5658
2018-01-31 02:30:36,11037
2018-02-01 07:26:56,6926
2018-02-03 01:35:31,2547
2018-02-03 03:28:16,6222
2018-02-05 09:47:22,4976
2018-02-07 00:02:10,4762
2018-02-09 15:40:09,3499
2018-02-10 12:00:14,6667
2018-02-11 08:16:43,7133
2018-02-14 16:25:39,6760
2018-02-15 16:17:20,3109
2018-02-16 08:35:49,6720
2018-02-17 12:43:02,8668
