time,steps
2017-02-17 05:56:10,472
2017-02-17 21:03:40,504
2017-02-19 05:34:43,648
2017-02-19 22:09:40,431
2017-02-21 01:12:18,775
2017-02-21 12:43:33,333
2017-02-22 05:21:42,574
2017-02-22 11:07:27,390
2017-02-22 11:55:13,581
2017-02-25 06:48:53,452
2017-02-26 09:19:26,426
2017-02-26 10:17:51,586
2017-02-27 21:18:53,467
2017-02-28 21:01:49,723
2017-03-01 15:47:12,538
2017-03-02 22:03:54,561
2017-03-03 20:50:55,541
2017-03-03 23:41:02,579
2017-03-04 16:31:38,417
2017-03-04 17:04:18,462
2017-03-08 03:55:18,514
2017-03-08 14:34:03,612
2017-03-09 13:04:20,493
2017-03-09 14:04:09,296
2017-03-15 18:41:24,499
2017-03-16 01:02:15,540
2017-03-16 01:33:33,452
2017-03-20 08:16:24,512
2017-03-20 22:56:13,586
2017-03-21 01:07:26,511
2017-03-22 23:17:58,781
2017-03-23 14:18:18,352
2017-03-24 12:17:46,523
2017-03-25 07:14:12,565
2017-03-25 17:40:17,354
2017-03-27 01:16:28,433
2017-03-27 18:48:32,829
2017-03-28 21:22:10,683
2017-03-28 23:06:24,469
2017-03-28 23:35:45,436
2017-03-29 03:00:06,652
2017-03-30 01:19:07,710
2017-03-31 17:51:50,613
2017-04-04 00:42:12,314
2017-04-04 13:54:47,418
2017-04-05 01:08:51,420
2017-04-06 14:35:18,533
2017-04-06 19:43:56,411
2017-04-06 19:53:52,646
2017-04-07 14:49:29,470
2017-04-08 00:00:53,588
2017-04-08 15:21:56,593
2017-04-09 10:06:53,614
2017-04-09 22:38:43,488
2017-04-10 18:33:20,497
2017-04-13 17:39:45,427
2017-04-13 18:04:43,467
2017-04-18 07:45:53,518
2017-04-18 21:19:18,290
2017-04-19 05:21:07,415
2017-04-20 17:37:41,376
2017-04-21 01:54:08,498
2017-04-21 11:39:57,634
2017-04-21 11:45:53,478
2017-04-21 20:15:53,480
2017-04-22 03:02:14,478
2017-04-24 00:50:27,524
2017-04-24 09:22:07,530
2017-04-25 06:15:11,513
2017-04-25 11:32:08,479
2017-04-26 06:27:20,492
2017-04-26 19:46:50,356
2017-04-26 23:58:19,497
2017-04-28 08:16:09,434
2017-04-29 06:38:14,577
2017-04-29 12:37:19,566
2017-05-02 21:34:27,538
2017-05-03 14:31:22,454
2017-05-03 23:22:54,456
2017-05-03 23:43:38,663
2017-05-04 11:02:34,461
2017-05-05 19:24:00,572
2017-05-06 20:59:21,325
2017-05-07 02:54:46,456
2017-05-07 18:56:03,439
2017-05-08 23:10:58,410
2017-05-09 11:47:08,494
2017-05-10 13:22:38,476
2017-05-13 10:30:50,506
2017-05-13 13:26:16,437
2017-05-13 21:17:11,438
2017-05-14 22:26:04,424
2017-05-15 03:54:13,521
2017-05-15 19:56:55,630
2017-05-16 00:10:12,544
2017-05-18 02:21:20,505
2017-05-18 03:25:40,290
2017-05-18 06:03:48,461
2017-05-18 16:35:49,632
2017-05-19 20:38:40,422
2017-05-21 02:17:02,349
2017-05-23 04:16:05,501
2017-05-23 13:59:57,534
2017-05-23 14:58:26,745
2017-05-24 15:17:22,662
2017-05-24 23:14:26,453
2017-05-25 03:21:36,522
2017-05-26 13:14:59,410
2017-05-26 16:03:27,546
2017-05-26 20:38:37,414
2017-05-28 03:55:59,486
2017-05-28 10:02:05,637
2017-05-28 16:39:47,625
2017-05-29 11:42:29,606
2017-05-29 16:28:28,545
2017-05-30 06:42:39,671
2017-05-31 00:41:28,312
2017-06-01 04:22:11,533
2017-06-01 08:44:22,513
2017-06-01 12:01:10,542
2017-06-01 21:17:56,528
2017-06-02 16:47:45,529
2017-06-02 19:51:41,497
2017-06-03 08:35:51,419
2017-06-04 13:26:31,618
2017-06-07 11:11:55,339
2017-06-08 09:48:36,594
2017-06-09 08:08:12,590
2017-06-10 02:40:04,538
2017-06-18 22:56:39,408
2017-06-19 07:42:30,542
2017-06-21 10:53:58,509
2017-06-25 01:07:51,620
2017-06-26 20:06:53,636
2017-06-29 18:08:59,542
2017-06-30 13:26:14,483
2017-07-02 09:29:36,548
2017-07-03 08:36:33,487
2017-07-04 02:55:17,545
2017-07-06 14:30:32,576
2017-07-07 02:49:14,577
2017-07-07 08:42:47,447
2017-07-07 11:21:30,583
2017-07-07 17:04:23,578
2017-07-08 08:38:41,624
2017-07-08 16:44:43,319
2017-07-08 16:58:09,592
2017-07-11 19:07:32,393
2017-07-12 08:54:11,577
2017-07-12 10:01:14,773
2017-07-13 00:41:47,587
2017-07-14 14:47:00,445
2017-07-15 01:05:14,453
