time,steps
2017-02-16 18:15:39,14
2017-02-17 03:06:41,17
2017-02-18 09:19:42,25
2017-02-18 13:47:05,21
2017-02-19 06:40:24,6
2017-02-20 12:40:02,23
2017-02-20 12:54:53,17
2017-02-20 13:23:20,12
2017-02-20 23:56:38,21
2017-02-21 00:52:14,13
2017-02-21 03:46:22,16
2017-02-21 20:36:39,14
2017-02-24 09:18:54,17
2017-02-25 04:41:49,4
2017-02-26 02:05:02,13
2017-02-27 10:09:15,15
2017-02-28 16:50:30,18
2017-03-01 05:23:37,18
2017-03-01 17:50:38,23
2017-03-02 03:10:52,17
2017-03-02 09:56:54,12
2017-03-02 12:20:04,20
2017-03-02 14:10:49,11
2017-03-03 00:03:39,24
2017-03-03 19:35:54,18
2017-03-04 04:10:00,17
2017-03-05 10:54:02,13
2017-03-07 00:12:36,12
2017-03-07 00:19:15,25
2017-03-07 01:10:51,13
2017-03-07 16:35:38,17
2017-03-08 02:23:56,16
2017-03-08 16:25:02,15
2017-03-09 04:34:08,12
2017-03-09 05:24:57,17
2017-03-10 13:54:56,13
2017-03-11 08:29:32,18
2017-03-12 11:40:35,19
2017-03-12 22:05:21,11
2017-03-13 08:21:31,18
2017-03-13 09:19:51,15
2017-03-16 09:10:26,15
2017-03-16 16:38:09,17
2017-03-17 09:34:30,14
2017-03-18 09:11:23,22
2017-03-18 11:38:49,14
2017-03-18 12:22:26,9
2017-03-19 02:04:02,14
2017-03-20 19:13:24,16
2017-03-21 03:37:38,21
2017-03-22 12:26:51,12
2017-03-23 18:51:54,16
2017-03-24 02:29:10,25
2017-03-24 03:11:12,15
2017-03-25 14:01:25,13
2017-03-25 19:38:22,13
2017-03-26 12:34:25,13
2017-03-26 19:00:06,16
2017-03-29 02:39:15,20
2017-03-29 18:41:42,13
2017-03-30 08:14:51,15
2017-03-31 18:07:46,23
2017-04-01 17:36:05,17
2017-04-02 04:44:20,14
2017-04-02 18:49:41,17
2017-04-05 14:11:03,12
2017-04-05 20:54:27,17
2017-04-05 22:03:45,18
2017-04-05 23:10:57,10
2017-04-06 01:23:32,23
2017-04-06 08:33:40,17
2017-04-06 15:51:07,17
2017-04-06 21:37:40,21
2017-04-07 04:00:11,17
2017-04-07 08:36:16,16
2017-04-07 11:51:32,7
2017-04-08 09:07:08,17
2017-04-09 11:13:54,20
2017-04-10 20:23:27,10
2017-04-11 00:13:22,13
2017-04-11 02:55:39,19
2017-04-11 07:26:39,6
2017-04-11 15:15:20,7
2017-04-13 00:02:49,13
2017-04-13 00:25:05,14
2017-04-13 05:36:53,15
2017-04-13 11:49:14,15
2017-04-13 14:27:24,13
2017-04-13 15:54:36,17
2017-04-14 01:18:52,13
2017-04-14 02:15:29,22
2017-04-14 14:29:46,22
2017-04-14 16:04:07,12
2017-04-16 23:16:49,11
2017-04-18 03:00:08,17
2017-04-19 10:52:43,10
2017-04-20 05:51:44,21
2017-04-21 13:15:20,15
2017-04-22 02:36:01,19
2017-04-23 11:30:19,13
2017-04-23 11:37:05,12
2017-04-24 01:57:42,11
2017-04-28 16:32:01,11
2017-04-28 18:36:40,17
2017-04-30 10:05:31,19
2017-04-30 22:31:30,14
2017-05-01 08:01:53,14
2017-05-02 09:56:30,15
2017-05-03 11:09:35,16
2017-05-04 18:38:53,22
2017-05-06 01:59:00,20
2017-05-06 05:36:45,11
2017-05-06 08:34:31,19
2017-05-06 11:32:50,13
2017-05-07 08:40:35,11
2017-05-07 19:37:14,19
2017-05-08 15:34:51,15
2017-05-10 07:05:44,17
2017-05-11 07:34:31,12
2017-05-11 18:37:45,14
2017-05-12 04:54:30,12
2017-05-12 04:57:35,19
2017-05-13 20:32:01,15
2017-05-14 15:06:48,19
2017-05-15 06:40:33,18
2017-05-15 22:55:20,12
2017-05-16 08:08:59,17
2017-05-17 01:43:40,6
2017-05-19 03:49:33,7
2017-05-19 11:51:25,13
2017-05-19 15:43:29,17
2017-05-19 16:21:25,17
2017-05-20 00:32:04,18
2017-05-20 02:04:03,19
2017-05-20 05:27:16,21
2017-05-20 08:51:56,20
2017-05-22 01:27:50,13
2017-05-23 21:18:41,12
2017-05-24 09:54:27,22
2017-05-24 13:25:58,13
2017-05-24 20:02:24,16
2017-05-25 06:16:10,17
2017-05-25 10:25:01,13
2017-05-26 05:00:33,20
2017-05-26 13:44:18,8
2017-05-26 15:00:25,13
2017-05-27 02:51:52,13
2017-05-27 03:21:52,8
2017-05-28 04:41:09,20
2017-05-28 08:55:36,16
2017-05-28 12:34:09,11
2017-05-28 17:57:03,14
2017-05-29 06:47:42,16
2017-05-29 09:09:11,22
2017-05-30 15:38:25,16
2017-06-01 14:57:54,22
2017-06-01 18:46:25,15
2017-06-03 02:31:56,8
2017-06-06 12:40:32,14
2017-06-07 23:15:03,15
2017-06-08 04:25:09,16
2017-06-09 04:37:29,8
2017-06-09 13:52:55,14
2017-06-09 20:18:47,8
2017-06-10 09:03:39,11
2017-06-10 12:13:48,10
2017-06-11 00:07:02,12
2017-06-11 07:02:34,16
2017-06-11 07:28:15,23
2017-06-11 15:51:39,19
2017-06-12 23:12:08,16
2017-06-13 20:20:09,8
2017-06-14 14:33:33,23
2017-06-15 16:57:26,19
2017-06-15 21:34:24,16
2017-06-16 11:40:48,9
2017-06-17 04:12:56,16
2017-06-17 16:15:06,29
2017-06-18 21:41:53,13
2017-06-18 23:29:00,15
2017-06-19 10:05:56,18
2017-06-20 04:21:01,19
2017-06-20 12:07:40,15
2017-06-20 16:31:54,11
2017-06-20 21:24:59,8
2017-06-21 17:00:31,13
2017-06-22 16:18:57,14
2017-06-22 20:58:08,16
2017-06-23 00:03:01,21
2017-06-23 04:55:25,14
2017-06-23 14:04:07,16
2017-06-24 05:42:38,14
2017-06-24 20:33:07,16
2017-06-26 17:26:15,14
2017-06-27 15:21:38,16
2017-06-27 19:14:33,14
2017-06-28 07:09:31,13
2017-06-28 07:49:35,17
2017-06-28 08:46:43,18
2017-06-28 09:45:31,14
2017-06-28 19:31:30,14
2017-06-28 20:32:14,12
2017-06-29 06:20:11,18
2017-06-29 11:37:53,14
2017-06-29 13:07:13,14
2017-06-29 15:18:54,17
2017-06-30 10:42:22,15
2017-06-30 13:56:35,6
2017-06-30 16:58:46,10
2017-06-30 17:26:31,26
2017-07-02 05:31:07,9
2017-07-02 17:33:34,16
2017-07-03 05:25:42,11
2017-07-03 17:48:33,12
2017-07-04 05:10:37,12
2017-07-04 05:32:59,19
