time,steps
2017-02-18 16:05:33,8116
2017-02-19 10:51:26,8195
2017-02-19 12:09:44,3836
2017-02-20 10:07:47,4486
2017-02-20 15:24:52,8672
2017-02-22 05:47:46,6458
2017-03-01 11:08:36,5126
2017-03-05 03:12:34,8435
2017-03-05 04:48:57,2962
2017-03-05 10:16:18,2136
2017-03-07 06:29:24,5441
2017-03-09 10:20:26,11040
2017-03-12 19:37:35,4911
2017-03-12 20:52:48,7619
2017-03-24 14:35:36,113
2017-03-26 10:16:58,6774
2017-03-27 14:56:23,4588
2017-04-01 03:51:23,8741
2017-04-03 01:15:57,8152
2017-04-04 06:35:10,2315
2017-04-04 14:07:45,4624
2017-04-08 08:05:29,534
2017-04-09 18:03:49,11117
2017-04-11 04:36:51,5964
2017-04-14 04:33:32,8315
2017-04-20 10:19:28,6214
2017-04-20 14:44:32,6339
2017-04-20 16:54:28,13163
2017-04-22 15:36:03,5605
2017-04-25 02:55:45,6437
2017-04-27 07:46:41,7732
2017-04-30 20:42:58,5991
2017-05-02 03:16:12,9877
2017-05-03 03:55:50,4579
2017-05-03 07:21:50,8175
2017-05-06 11:49:43,11895
2017-05-08 22:17:13,16537
2017-05-13 11:12:55,3966
2017-05-15 05:31:17,7880
2017-05-15 23:01:46,6032
2017-05-19 00:05:35,3945
2017-05-21 17:50:02,5733
2017-05-23 12:38:39,6954
2017-05-23 13:15:26,4176
2017-05-24 10:06:06,9507
2017-05-24 21:08:42,6187
2017-05-27 06:43:59,2439
2017-05-27 12:44:23,6614
2017-05-30 19:15:04,4891
2017-05-31 11:02:02,4984
2017-06-01 02:56:09,6482
2017-06-04 21:17:11,7956
2017-06-07 15:21:39,6290
2017-06-08 18:40:26,223
2017-06-09 10:13:48,10265
2017-06-12 23:54:09,6158
2017-06-15 13:57:29,5924
2017-06-17 14:37:51,5981
2017-06-17 20:52:34,808
2017-06-18 12:38:21,8221
2017-06-20 03:39:04,5658
2017-06-20 05:44:14,8953
2017-06-21 04:30:42,2259
2017-06-21 08:20:15,1330
2017-06-21 19:51:53,4982
2017-06-22 04:37:49,9002
2017-06-23 05:21:22,4858
2017-06-25 00:47:52,11225
2017-06-26 15:36:18,3817
2017-06-27 03:55:56,5135
2017-06-29 09:25:52,9204
2017-07-02 07:34:28,5051
2017-07-03 00:36:46,9420
2017-07-03 08:49:11,7795
2017-07-04 19:47:52,3398
2017-07-05 18:11:10,1914
2017-07-05 22:03:22,7982
2017-07-06 11:56:36,5632
2017-07-06 22:49:54,1903
2017-07-10 05:39:53,3858
2017-07-12 01:08:23,3536
2017-07-12 05:27:52,3527
2017-07-12 17:36:37,4745
2017-07-15 02:39:23,4102
2017-07-21 15:53:51,4302
2017-07-21 21:47:43,7843
2017-07-22 08:06:28,9280
2017-07-27 04:13:54,8810
2017-07-28 06:33:20,9611
2017-07-30 03:05:24,5660
2017-07-31 04:05:57,8433
2017-08-01 12:52:41,4114
2017-08-02 00:04:28,8570
2017-08-03 10:17:50,7806
2017-08-03 10:38:39,7801
2017-08-05 14:33:47,9396
2017-08-10 14:14:34,978
2017-08-10 18:53:59,8295
2017-08-11 03:36:24,7205
2017-08-12 22:33:48,9124
2017-08-17 08:01:15,1903
2017-08-18 08:14:29,2794
2017-08-19 03:50:07,8535
2017-08-20 12:05:06,5892
2017-08-23 21:26:31,3243
2017-08-25 08:09:45,7481
2017-08-27 03:33:30,7218
2017-09-01 00:42:36,6051
2017-09-01 00:48:39,6777
2017-09-03 18:40:31,11942
2017-09-05 17:33:12,5164
2017-09-09 08:34:28,11003
2017-09-10 08:20:05,6497
2017-09-11 16:48:32,8498
2017-09-11 20:49:50,5915
2017-09-12 09:38:38,7497
2017-09-13 04:12:23,8459
2017-09-15 03:46:29,3595
2017-09-16 17:48:49,7556
2017-09-20 08:44:54,8909
2017-09-23 15:36:39,3860
2017-09-24 01:33:18,5899
2017-09-26 22:22:28,5488
2017-09-29 10:19:55,6129
2017-10-02 07:55:13,3387
2017-10-07 00:36:37,4774
2017-10-08 21:57:00,2043
2017-10-10 22:30:02,7724
2017-10-16 02:32:04,7271
2017-10-16 10:05:12,9164
2017-10-18 15:49:23,8152
2017-10-20 04:34:29,9065
2017-10-23 21:32:02,10424
2017-10-25 19:19:36,2706
2017-10-25 19:35:38,5258
2017-10-29 21:48:41,6269
2017-10-30 11:42:21,6978
2017-10-31 10:40:35,8159
2017-11-01 03:13:57,1078
2017-11-01 04:49:01,2984
2017-11-04 00:24:34,4010
2017-11-04 02:25:04,9131
2017-11-05 00:01:51,7772
2017-11-10 17:22:27,2781
2017-11-16 14:55:31,4350
2017-11-17 21:13:43,3017
2017-11-18 00:06:21,5931
2017-11-18 07:32:40,5925
2017-11-18 13:09:12,524
2017-11-24 20:10:00,5667
2017-11-26 01:28:08,7684
2017-11-28 19:00:29,5329
2017-11-29 00:23:31,2820
2017-11-29 12:43:51,10609
2017-11-30 21:11:20,6872
2017-12-01 01:11:01,3404
2017-12-02 13:09:42,9064
2017-12-05 00:20:40,9256
2017-12-05 23:54:39,5706
2017-12-10 06:54:36,7446
2017-12-12 19:43:15,3912
2017-12-16 22:48:13,6110
2017-12-17 08:48:42,8906
2017-12-19 07:48:53,7340
2017-12-21 03:14:04,3205
2017-12-22 13:56:24,6955
2017-12-24 15:32:09,7278
2017-12-26 06:11:01,4337
2017-12-27 16:42:27,7254
2017-12-29 07:52:43,6023
2017-12-29 12:18:58,9018
2017-12-30 20:15:46,7734
2017-12-31 01:19:15,1741
2017-12-31 11:20:08,6341
2018-01-02 03:20:29,5790
2018-01-04 16:40:02,7022
2018-01-05 05:05:38,4305
2018-01-06 17:10:44,8516
2018-01-06 21:04:11,8536
2018-01-07 20:59:05,5331
2018-01-08 21:02:39,827
2018-01-09 09:31:45,8604
2018-01-09 20:16:22,6562
2018-01-15 08:25:00,7706
2018-01-15 22:46:19,2996
2018-01-17 06:38:08,4850
2018-01-18 11:04:12,7890
2018-01-20 10:58:04,7264
2018-01-22 11:20:30,4861
2018-01-24 23:04:07,2247
2018-01-25 23:01:16,10295
2018-01-31 05:07:32,5111
2018-02-02 10:16:42,6794
2018-02-05 07:17:50,7960
2018-02-07 18:52:52,8284
2018-02-11 15:37:53,9466
2018-02-12 01:57:23,5897
2018-02-12 04:50:45,1084
2018-02-13 17:06:57,6105
2018-02-15 13:27:54,8409
