time,steps
2017-02-18 08:56:36,613
2017-02-19 14:34:29,5527
2017-02-23 09:42:19,6485
2017-02-23 11:46:31,9000
2017-03-02 23:09:03,8064
2017-03-03 01:12:34,7144
2017-03-06 00:50:29,6861
2017-03-07 01:42:29,8505
2017-03-07 17:30:34,11965
2017-03-08 13:06:38,4504
2017-03-11 13:08:17,8443
2017-03-12 01:29:02,6069
2017-03-12 09:59:00,5696
2017-03-13 00:58:58,2401
2017-03-16 11:07:10,8161
2017-03-17 03:27:35,9849
2017-03-20 03:26:24,9964
2017-03-20 07:34:22,6351
2017-03-21 18:00:36,5302
2017-03-22 14:54:28,6379
2017-03-22 16:04:58,8008
2017-03-23 04:02:16,14500
2017-03-27 16:32:54,3953
2017-03-28 15:58:10,10007
2017-03-28 20:07:41,7080
2017-03-29 03:28:13,5689
2017-03-31 20:55:34,4853
2017-04-02 23:03:18,2668
2017-04-04 14:28:49,3642
2017-04-05 00:29:34,4541
2017-04-06 08:48:50,7671
2017-04-07 20:22:14,6309
2017-04-08 00:33:27,2486
2017-04-08 21:05:14,9082
2017-04-09 06:41:16,10691
2017-04-10 09:11:33,3050
2017-04-11 09:42:27,3022
2017-04-12 22:24:27,6062
2017-04-12 23:40:03,6096
2017-04-13 12:40:51,5169
2017-04-15 01:32:05,7628
2017-04-15 10:16:42,92
2017-04-16 20:25:07,5160
2017-04-17 08:33:10,3627
2017-04-20 05:57:06,6576
2017-04-21 22:40:12,7788
2017-04-25 09:08:22,1205
2017-04-30 03:39:46,7734
2017-05-01 17:53:05,1695
2017-05-05 09:57:26,5106
2017-05-05 21:12:04,7967
2017-05-07 13:40:36,9802
2017-05-10 10:15:33,6741
2017-05-11 09:34:17,2125
2017-05-12 09:16:25,5099
2017-05-13 10:40:38,1796
2017-05-14 13:41:27,1942
2017-05-16 16:37:23,8834
2017-05-19 10:09:26,6652
2017-05-22 20:06:39,5978
2017-05-23 04:40:13,13249
2017-05-27 04:28:58,8714
2017-05-28 04:20:07,5614
2017-05-28 05:18:35,5302
2017-05-29 07:55:29,7126
2017-05-30 16:37:46,3941
2017-06-02 04:37:34,6038
2017-06-05 16:40:35,4235
2017-06-05 23:07:01,12087
2017-06-06 01:24:42,4299
2017-06-08 04:29:04,7052
2017-06-10 01:03:56,2428
2017-06-11 08:03:49,8272
2017-06-11 13:31:58,5781
2017-06-12 19:02:34,8929
2017-06-16 17:09:59,856
2017-06-17 04:12:17,7636
2017-06-17 11:10:06,3941
2017-06-20 09:20:00,3991
2017-06-23 10:09:56,9455
